capital,state,lga,latitude,longitude
Jibiya,Katsina,Jibia,13.097778,7.2225
Jos,Plateau,Jos North,9.933333,8.883333
Bukuru,Plateau,Jos South,9.8,8.866667
Kabba,Kogi,Kabba/Bunu,7.828729,6.0731
Kabo,Kano,Kabo,11.854715,8.169902
Kachia,Kaduna,Kachia,9.866667,7.95
Kaduna,Kaduna,Kaduna North,10.522239,7.43828
Kaduna South,Kaduna,Kaduna South,10.475112,7.419593
Kaffin-Hausa,Jigawa,Kafin Hausa,12.237531,9.907983
Kafur,Katsina,Kafur,11.644006,7.694006
Benisheik,Borno,Kaga,11.8072,12.4909
Kagarko,Kaduna,Kagarko,9.483333,7.683333
Kaiama,Kwara,Kaiama,9.6225,3.948056
Kaita,Katsina,kaita,13.08063,7.75376
Kajola,Oyo,Kajola,8.083333,3.333333
Kajuru,Kaduna,Kajuru,10.575977,8.14782
Kala-Belgue,Borno,Kala/Balge,12.07872,14.451922
Kalgo,Kebbi,Kalgo,12.32455,4.198068
Kaltungo,Gombe,Kaltungo,9.883333,11.366667
Dengi,Plateau,Kanam,9.366667,9.95
Kankara,Katsina,Kankara,11.930155,7.412671
Kankiya,Katsina,Kankia,12.543163,7.825429
Kofar Kudu,Kano,Kano Municipal,12,8.516667
Karasua,Yobe,Karasuwa,12.9621,10.5611
Karaye,Kano,Karaye,11.782113,8.016181
Dani,Taraba,Karin-Lamido,9.416667,10.85
Karu,Nasarawa,Karu,8.996111,7.575556
Azare,Bauchi,Katagum,11.6765,10.1948
Katcha,Niger,Katcha,8.766667,6.316667
Katsina,Katsina,Katsina,12.989428,7.600628
Kuagama,Jigawa,Kaugama,12.475427,9.734939
Kaura Namoda,Zamfara,Kaura-Namoda,12.589788,6.577914
Kauru,Kaduna,Kauru,10.31921,7.689236
Kazaure,Jigawa,Kazaure,12.651314,8.416153
Keana,Nasarawa,Keana,8.133333,8.8
Kebbe,Sokoto,Kebbe,12.128802,4.735093
Keffi,Nasarawa,Keffi,8.848611,7.873611
Bori,Rivers,Khana,4.673663,7.362008
Kibiya,Kano,Kibiya,11.526292,8.662267
Kirifi,Bauchi,Kirfi,10.411123,10.392584
Kiri Kasamma,Jigawa,Kiri Kasamma,12.6932,10.2551
Kiru,Kano,Kiru,11.700274,8.134759
Kiyawa,Jigawa,kiyawa,11.782778,9.6125
Koton Karifi,Kogi,Kogi,8.1,6.8
Koko,Kebbi,Koko/Besse,11.421544,4.516867
Opokuma,Bayelsa,Kolokuma/Opokuma,5.076274,6.26406
Konduga,Borno,Konduga,11.655826,13.421331
Konshisha,Benue,Konshisha,7.12455,8.686699
Kontagora,Niger,Kontagora,10.399893,5.469491
Kubau,Kaduna,Kubau,10.799135,8.153818
Kudan,Kaduna,Kudan,11.306902,7.731608
Kuje,Federal Capital Territory,Kuje,8.896389,7.243056
Kukawa,Borno,Kukawa,12.927,13.5763944
Kumbotso,Kano,Kumbotso,11.888001,8.502173
Kunchi,Kano,Kunchi,12.501333,8.271808
Kura,Kano,Kura,11.769688,8.430333
Kurfi,Katsina,Kurfi,12.667473,7.48462
Baissa,Taraba,Kurmi,7.25,10.616667
Kusada,Katsina,Kusada,12.466062,7.98298
Kwali,Federal Capital Territory,Kwali,8.867222,7.005
